stimulus;name_stimulus;cropping_percentage;orientation(0:vertical_1:horizontal);image_ref_position(0:right/down_1:left/up);answer;time_reaction;entropy
1900.000000;contemporary01900.png;383.000000;0.000000;0.000000;right;0.815227;8.422768
16150.000000;contemporary16150.png;235.000000;0.000000;0.000000;left;2.550870;8.422098
2000.000000;contemporary02000.png;286.000000;0.000000;1.000000;right;1.828884;8.419142
5800.000000;contemporary05800.png;643.000000;0.000000;1.000000;left;3.231214;8.413969
6050.000000;contemporary06050.png;255.000000;0.000000;0.000000;left;2.447228;8.408458
9900.000000;contemporary09900.png;462.000000;0.000000;1.000000;left;3.395415;8.402044
1950.000000;contemporary01950.png;278.000000;0.000000;0.000000;right;2.375400;8.390502
5650.000000;contemporary05650.png;151.000000;1.000000;0.000000;right;0.953390;8.303968
15050.000000;contemporary15050.png;658.000000;0.000000;1.000000;left;2.227673;8.302454
7250.000000;contemporary07250.png;242.000000;1.000000;0.000000;left;3.637397;8.295092
19100.000000;contemporary19100.png;413.000000;1.000000;0.000000;left;1.659772;8.294752
7300.000000;contemporary07300.png;508.000000;1.000000;0.000000;left;2.203487;8.286012
4250.000000;contemporary04250.png;122.000000;1.000000;1.000000;right;1.381507;8.261392
17850.000000;contemporary17850.png;159.000000;1.000000;0.000000;left;7.291664;8.260805
3450.000000;contemporary03450.png;182.000000;1.000000;1.000000;right;0.689949;8.246290
2300.000000;contemporary02300.png;396.000000;1.000000;1.000000;right;0.865959;8.231874
12900.000000;contemporary12900.png;635.000000;1.000000;0.000000;left;0.991947;8.227751
12500.000000;contemporary12500.png;118.000000;0.000000;1.000000;left;2.086092;8.223047
7550.000000;contemporary07550.png;643.000000;0.000000;1.000000;left;2.484020;8.209146
10500.000000;contemporary10500.png;584.000000;1.000000;1.000000;left;0.922113;8.200479
2450.000000;contemporary02450.png;632.000000;0.000000;0.000000;right;3.266294;8.183167
7300.000000;contemporary07300.png;688.000000;0.000000;1.000000;left;2.138266;8.167771
7550.000000;contemporary07550.png;135.000000;0.000000;1.000000;left;1.498631;8.152379
1100.000000;contemporary01100.png;413.000000;0.000000;0.000000;right;0.958432;8.134719
15500.000000;contemporary15500.png;534.000000;1.000000;0.000000;left;2.428298;8.133445
11550.000000;contemporary11550.png;684.000000;1.000000;1.000000;left;1.784531;8.127578
15050.000000;contemporary15050.png;359.000000;0.000000;1.000000;left;2.338905;8.126091
2100.000000;contemporary02100.png;204.000000;0.000000;0.000000;right;3.354818;8.107448
15800.000000;contemporary15800.png;136.000000;1.000000;0.000000;left;1.512658;8.106398
8250.000000;contemporary08250.png;494.000000;0.000000;1.000000;left;3.486845;8.091857
2850.000000;contemporary02850.png;109.000000;0.000000;1.000000;left;3.104709;8.020383
2450.000000;contemporary02450.png;323.000000;0.000000;0.000000;right;1.070897;8.002389
7300.000000;contemporary07300.png;671.000000;0.000000;1.000000;left;2.479444;7.987174
1350.000000;contemporary01350.png;261.000000;1.000000;0.000000;right;1.087110;7.970155
8750.000000;contemporary08750.png;351.000000;1.000000;1.000000;left;2.730985;7.957720
2700.000000;contemporary02700.png;500.000000;1.000000;1.000000;left;3.395290;7.897303
12500.000000;contemporary12500.png;207.000000;1.000000;0.000000;left;1.637238;7.893578
20000.000000;contemporary20000.png;119.000000;0.000000;1.000000;left;0.965257;7.893396
17100.000000;contemporary17100.png;214.000000;1.000000;0.000000;left;1.867274;7.892800
6600.000000;contemporary06600.png;193.000000;1.000000;1.000000;right;0.745534;7.813682
11150.000000;contemporary11150.png;214.000000;0.000000;0.000000;left;3.497336;7.807267
7100.000000;contemporary07100.png;454.000000;0.000000;0.000000;left;2.543747;7.795066
4700.000000;contemporary04700.png;251.000000;1.000000;0.000000;right;1.473583;7.767706
10500.000000;contemporary10500.png;595.000000;0.000000;1.000000;left;2.693564;7.760024
13300.000000;contemporary13300.png;451.000000;0.000000;0.000000;left;6.301673;7.757009
